,DataCenter_Code,Operator,Address,Zipcode,CountyName,First_Operation_Permit,Housing_Avg_Price,Housing_Avg_Price_Before_Permit,Housing_Avg_Price_After_Permit,HC_Score_Before,HC_Score_After,Housing_Change,HC_Score_Change,Complete,Housing_Change_score,Housing_Change_z_score,HC_Score_Change_score,HC_Score_Change_z_score,impact_score,impact_z_score
0,DC01,CoreWeave,301 Digital Xrds Dr,46320,Lake County,2020,74521.81542,63764.155966667146,93321.20979480924,3.3848384838483847,3.335577673692428,29557.05383,-0.04926081,1,7,0.12877353617522594,3,-0.285575207,5,-0.078400836
1,DC02,Lumen / CloudHQ,"1305 E. Algonquin Avenue,",60005,Cook County,2015,258203.5296,247819.71667958456,269157.7464232647,4.605445041,4.256491496412834,21338.02974,-0.348953544,1,4,-0.065135236,1,-0.551274567,2.5,-0.308204901
2,DC03,Aligned Data Centers,150 NW Point Blvd,60007,Cook County,2011,190226.7597212483,209682.7353344324,181101.8843,,4.505565125215317,-28580.85101,4.505565125,1,2,-1.242855213,10,3.7526085562768396,6,1.254876671539674
3,DC04,Aligned Data Centers,50 NW Point Blvd,60007,Cook County,2011,190226.7597212483,209682.7353344324,181101.8843,,4.505565125215317,-28580.85101,4.505565125,1,2,-1.242855213,10,3.7526085562768396,6,1.254876671539674
4,DC05,Equinix,1905 Lunt Avenue,60007,Cook County,2014,213814.70764802545,192736.17646043625,219318.12547554343,4.5920760900999325,4.625826426290837,26581.94902,0.033750336,1,5,0.058582852,7,-0.211979802,6,-0.076698475
5,DC06,Digital Realty,2200 Busse Road,60007,Cook County,2014,213814.70764802545,192736.17646043625,219318.12547554343,4.5920760900999325,4.625826426290837,26581.94902,0.033750336,1,5,0.058582852,7,-0.211979802,6,-0.076698475
6,DC07,Csquare / CenterSquare,2425 Busse Road,60007,Cook County,2014,213814.70764802545,192736.17646043625,219318.12547554343,4.5920760900999325,4.625826426290837,26581.94902,0.033750336,1,5,0.058582852,7,-0.211979802,6,-0.076698475
7,DC08,STACK INFRASTRUCTURE,1301 Touhy Ave,60007,Cook County,2015,219318.12547554343,213814.70764802545,228345.6621283205,4.625826426290837,4.454190245216923,14530.95448,-0.171636181,1,3,-0.225732357,1,-0.394069855,2,-0.309901106
8,DC09,EdgeConneX,1800 Nicholas Blvd,60007,Cook County,2016,228345.6621283205,219318.12547554343,238017.06546766392,4.454190245216923,4.555675238992864,18698.93999,0.101484994,1,3,-0.127398425,10,-0.151928112,6.5,-0.139663268
9,DC10,Digital Realty,1400 East Devon Avenue,60007,Cook County,2017,238017.06546766392,228345.6621283205,248791.14945776423,4.555675238992864,4.643946097,20445.48733,0.088270858,1,3,-0.0861927,9,-0.163643402,6,-0.124918051
10,DC11,EdgeConneX,1800 Nicholas Blvd,60007,Cook County,2018,248791.14945776423,238017.06546766392,250469.8104714883,4.643946097,4.611690384811331,12452.745,-0.032255712,1,3,-0.274762879,4,-0.270498954,3.5,-0.272630917
11,DC12,T5 Data Centers,200 Innovation Dr,60007,Cook County,2020,254981.56409235028,250469.8104714883,280189.1777647399,4.589187164,4.623777197563098,29719.36729,0.034590034,1,7,0.13260294503952644,8,-0.211235349,7.5,-0.039316202
12,DC13,Skybox Datacenters,800 E Devon Ave,60007,Cook County,2021,280189.1777647399,254981.56409235028,301804.7187151877,4.623777197563098,4.666584333098094,46823.15462,0.042807136,1,9,0.5361270570547203,8,-0.203950291,8.5,0.1660883828817173
13,DC14,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Cook County,2021,280189.1777647399,254981.56409235028,301804.7187151877,4.623777197563098,4.666584333098094,46823.15462,0.042807136,1,9,0.5361270570547203,8,-0.203950291,8.5,0.1660883828817173
14,DC15,Stream Data Centers,1925 Busse Road,60007,Cook County,2022,301804.7187151877,280189.1777647399,316667.6782104057,4.666584333098094,4.539878366637707,36478.50045,-0.126705966,1,8,0.2920689833945211,2,-0.354235959,5,-0.031083488
15,DC16,Equinix,2001 Lunt Ave,60007,Cook County,2023,316667.6782104057,301804.7187151877,343113.4948,4.539878366637707,4.446316952723003,41308.77612,-0.093561414,1,8,0.40602811203187106,2,-0.324850908,5,0.040588602
16,DC17,Microsoft,Higgins Rd & Illinois,60010,Lake County,2022,568859.1948838737,517387.9991167667,587874.8772020288,3.0044352922540787,2.8067596363930623,70486.87809,-0.197675656,1,10,1.0944176166816009,1,-0.41715574,5.5,0.3386309384693823
17,DC18,CloudHQ,1200 E Algonquin Rd,60016,Cook County,2015,179377.5023064474,167194.97835397508,194076.4085842284,4.602666358417139,4.410122338,26881.43023,-0.19254402,1,6,0.065648416,1,-0.412606172,3.5,-0.173478878
18,DC19,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Cook County,2023,311565.3499,299446.65614736004,336976.8079034884,4.388662045389801,4.458038848584133,37530.15176,0.069376803,1,8,0.3168802519650223,9,-0.180394353,8.5,0.068242949
19,DC20,DataBank,800 E Business Center Dr,60056,Cook County,2016,274721.9887534774,259870.6367423528,286537.4501427314,4.411507261112708,4.452524172347725,26666.8134,0.041016911,1,6,0.060585030289134416,8,-0.205537456,7,-0.072476213
